Set 2

  1    350    ( 3,11)  350    ( 2, 3)  (1,1,1,1,1)
  2    350    ( 6,13)   65    ( 2,19)  (2,1,1,1,1)
  3    350    ( 8,17)   58    ( 2,19)  (3,1,1,1,1)
  4    350    ( 2,13)   57    ( 2,19)  (1,2,1,1,1)
  5    350    ( 3,13)   66    ( 2,19)  (2,2,1,1,1)
  6    288    ( 2,19)   61    ( 2,19)  (3,2,1,1,1)
  7    350    ( 4,13)   51    ( 2,19)  (1,3,1,1,1)
  8    350    ( 4,13)   59    ( 2,19)  (2,3,1,1,1)
  9    350    ( 4,13)  350    (20, 1)  (3,3,1,1,1)
 10    350    (16, 5)  350    ( 2, 3)  (1,1,2,1,1)
 11    350    ( 5,13)   64    ( 2,19)  (2,1,2,1,1)
 12    350    ( 8,17)   58    ( 2,19)  (3,1,2,1,1)
 13    350    ( 5,13)   87    ( 2,19)  (1,2,2,1,1)
 14    350    (19,15)   90    ( 2,19)  (2,2,2,1,1)
 15    316    ( 3,13)   55    ( 2,19)  (3,2,2,1,1)
 16    350    ( 4,13)   51    ( 2,19)  (1,3,2,1,1)
 17    350    ( 4,13)   67    ( 2,19)  (2,3,2,1,1)
 18    350    ( 4,13)  350    (20, 1)  (3,3,2,1,1)
 19    350    (16, 5)  350    ( 2, 3)  (1,1,3,1,1)
 20    350    ( 2,13)   58    ( 2,19)  (2,1,3,1,1)
 21    350    ( 8,17)   58    ( 2,19)  (3,1,3,1,1)
 22    350    ( 3,13)  115    ( 2,19)  (1,2,3,1,1)
 23    350    ( 3,13)   70    ( 2,19)  (2,2,3,1,1)
 24    296    ( 5,13)   57    ( 2,19)  (3,2,3,1,1)
 25    350    ( 4,13)   51    ( 2,19)  (1,3,3,1,1)
 26    350    ( 4,13)   56    ( 2,19)  (2,3,3,1,1)
 27    350    ( 4,13)  350    (20, 1)  (3,3,3,1,1)
 28    350    (16, 4)  316    ( 2,19)  (1,1,1,2,1)
 29    350    ( 3,11)  350    ( 3, 3)  (2,1,1,2,1)
 30    350    ( 8,19)   77    ( 2,19)  (3,1,1,2,1)
 31    350    (18,14)  103    ( 2,19)  (1,2,1,2,1)
 32    350    ( 2,13)   93    ( 2,19)  (2,2,1,2,1)
 33    329    ( 8,18)   62    ( 2,19)  (3,2,1,2,1)
 34    350    ( 5,13)   92    ( 2,19)  (1,3,1,2,1)
 35    350    (18,15)   55    ( 2,19)  (2,3,1,2,1)
 36    350    ( 3,13)   58    ( 2,19)  (3,3,1,2,1)
 37    350    ( 3,11)  350    ( 3, 3)  (1,1,2,2,1)
 38    350    ( 3,11)  314    ( 2, 3)  (2,1,2,2,1)
 39    350    ( 4,13)   69    ( 2,19)  (3,1,2,2,1)
 40    350    (19,15)  138    ( 2,19)  (1,2,2,2,1)
 41    350    ( 2,13)   69    ( 2,19)  (2,2,2,2,1)
 42    350    ( 8,19)   57    ( 2,19)  (3,2,2,2,1)
 43    350    ( 3,13)   92    ( 2,19)  (1,3,2,2,1)
 44    350    (19,15)   92    ( 2,19)  (2,3,2,2,1)
 45    350    ( 5,13)   69    ( 2,19)  (3,3,2,2,1)
 46    350    ( 2,11)  350    ( 3, 3)  (1,1,3,2,1)
 47    350    ( 2,11)  311    ( 3, 3)  (2,1,3,2,1)
 48    350    ( 4,13)   74    ( 2,19)  (3,1,3,2,1)
 49    350    ( 5,13)  100    ( 2,19)  (1,2,3,2,1)
 50    350    ( 2,13)   64    ( 2,19)  (2,2,3,2,1)
 51    335    ( 8,17)   53    ( 2,19)  (3,2,3,2,1)
 52    350    ( 3,13)  129    ( 7,18)  (1,3,3,2,1)
 53    350    ( 3,13)   90    ( 2,19)  (2,3,3,2,1)
 54    350    (18,13)   73    ( 2,19)  (3,3,3,2,1)
 55    350    ( 2,11)  350    ( 2, 3)  (1,1,1,3,1)
 56    350    ( 2,11)  350    ( 2, 3)  (2,1,1,3,1)
 57    350    ( 2,11)  350    ( 2, 3)  (3,1,1,3,1)
 58    350    (18,15)   93    ( 2,19)  (1,2,1,3,1)
 59    350    (18,14)  132    ( 2,19)  (2,2,1,3,1)
 60    350    ( 2,13)   92    ( 2,19)  (3,2,1,3,1)
 61    350    ( 6,13)   60    ( 2,19)  (1,3,1,3,1)
 62    350    ( 6,13)   60    ( 2,19)  (2,3,1,3,1)
 63    350    ( 6,13)   60    ( 2,19)  (3,3,1,3,1)
