Set 1
 88    350    ( 2,19)  351    ( 2,18)  (1,3,1,1,2)
 89    350    ( 2,19)  351    ( 2,18)  (2,3,1,1,2)
 90    350    ( 2,19)  351    ( 2,18)  (3,3,1,1,2)
 91    350    ( 2,19)  351    ( 2,18)  (1,1,2,1,2)
 92    350    ( 2,19)  351    ( 2,18)  (2,1,2,1,2)
 93    350    ( 2,19)  350    ( 2,19)  (3,1,2,1,2)
 94    350    ( 2,19)  351    ( 2,18)  (1,2,2,1,2)
 95    350    ( 2,19)  351    ( 2,18)  (2,2,2,1,2)
 96    350    ( 2,19)  351    ( 2,18)  (3,2,2,1,2)
 97    350    ( 2,19)  351    ( 2,18)  (1,3,2,1,2)
 98    350    ( 2,19)  351    ( 2,18)  (2,3,2,1,2)
 99    350    ( 2,19)  351    ( 2,18)  (3,3,2,1,2)
100    350    ( 2,19)  351    ( 2,18)  (1,1,3,1,2)
101    350    ( 2,19)  351    ( 2,18)  (2,1,3,1,2)
102    350    ( 2,19)  350    ( 2,19)  (3,1,3,1,2)
103    350    ( 2,19)  351    ( 2,18)  (1,2,3,1,2)
104    350    ( 2,19)  351    ( 2,18)  (2,2,3,1,2)
105    350    ( 2,19)  351    ( 2,18)  (3,2,3,1,2)
106    350    ( 2,19)  351    ( 2,18)  (1,3,3,1,2)
107    350    ( 2,19)  351    ( 2,18)  (2,3,3,1,2)
108    350    ( 2,19)  351    ( 2,18)  (3,3,3,1,2)
109    350    ( 4,19)  350    ( 2,18)  (1,1,1,2,2)
110    350    ( 4,19)  350    ( 2,18)  (2,1,1,2,2)
111    350    ( 4,19)  350    ( 2,18)  (3,1,1,2,2)
112    350    ( 4,19)  350    ( 2,18)  (1,2,1,2,2)
113    350    ( 4,19)  350    ( 2,18)  (2,2,1,2,2)
114    350    ( 4,19)  350    ( 2,18)  (3,2,1,2,2)
115    350    ( 4,19)  350    ( 2,18)  (1,3,1,2,2)
116    350    ( 4,19)  350    ( 2,18)  (2,3,1,2,2)
117    350    ( 3,16)  350    ( 2,18)  (3,3,1,2,2)
118    350    ( 4,19)  350    ( 2,18)  (1,1,2,2,2)
119    350    ( 4,19)  350    ( 2,18)  (2,1,2,2,2)
120    350    ( 4,19)  350    ( 2,18)  (3,1,2,2,2)
121    350    ( 4,19)  350    ( 2,18)  (1,2,2,2,2)
122    350    ( 4,19)  350    ( 2,18)  (2,2,2,2,2)
123    350    ( 4,19)  350    ( 2,18)  (3,2,2,2,2)
124    350    ( 4,19)  350    ( 2,18)  (1,3,2,2,2)
125    350    ( 4,19)  350    ( 2,18)  (2,3,2,2,2)
126    350    ( 3,16)  350    ( 2,18)  (3,3,2,2,2)
127    350    ( 4,19)  350    ( 2,18)  (1,1,3,2,2)
128    350    ( 4,19)  350    ( 2,18)  (2,1,3,2,2)
129    350    ( 4,19)  350    ( 2,18)  (3,1,3,2,2)
130    350    ( 4,19)  350    ( 2,18)  (1,2,3,2,2)
131    350    ( 4,19)  350    ( 2,18)  (2,2,3,2,2)
132    350    ( 4,19)  350    ( 2,18)  (3,2,3,2,2)
133    350    ( 4,19)  350    ( 2,18)  (1,3,3,2,2)
134    350    ( 4,19)  350    ( 2,18)  (2,3,3,2,2)
135    350    ( 4,19)  350    ( 2,18)  (3,3,3,2,2)
136    350    ( 4,19)  350    ( 2,18)  (1,1,1,3,2)
137    350    ( 4,19)  350    ( 2,18)  (2,1,1,3,2)
138    350    ( 4,19)  350    ( 2,18)  (3,1,1,3,2)
139    350    ( 4,19)  350    ( 2,18)  (1,2,1,3,2)
140    350    ( 4,19)  350    ( 2,18)  (2,2,1,3,2)
141    350    ( 4,19)  350    ( 2,18)  (3,2,1,3,2)
142    350    ( 4,19)  350    ( 2,18)  (1,3,1,3,2)
143    350    ( 4,19)  350    ( 2,18)  (2,3,1,3,2)
144    350    ( 4,19)  350    ( 2,18)  (3,3,1,3,2)
145    350    ( 4,19)  350    ( 2,18)  (1,1,2,3,2)
146    350    ( 4,19)  350    ( 2,18)  (2,1,2,3,2)
147    350    ( 4,19)  350    ( 2,18)  (3,1,2,3,2)
148    350    ( 4,19)  350    ( 2,18)  (1,2,2,3,2)
149    350    ( 4,19)  350    ( 2,18)  (2,2,2,3,2)
150    350    ( 4,19)  350    ( 2,18)  (3,2,2,3,2)
151    350    ( 4,19)  350    ( 2,18)  (1,3,2,3,2)
152    350    ( 4,19)  350    ( 2,18)  (2,3,2,3,2)
153    350    ( 4,19)  350    ( 2,18)  (3,3,2,3,2)
154    350    ( 4,19)  350    ( 2,18)  (1,1,3,3,2)
155    350    ( 4,19)  350    ( 2,18)  (2,1,3,3,2)
156    350    ( 4,19)  350    ( 2,18)  (3,1,3,3,2)
157    350    ( 4,19)  350    ( 2,18)  (1,2,3,3,2)
158    350    ( 4,19)  350    ( 2,18)  (2,2,3,3,2)
159    350    ( 4,19)  350    ( 2,18)  (3,2,3,3,2)
160    350    ( 4,19)  350    ( 2,18)  (1,3,3,3,2)
161    350    ( 4,19)  350    ( 2,18)  (2,3,3,3,2)
162    350    ( 4,19)  350    ( 2,18)  (3,3,3,3,2)
163    350    ( 2,19)  350    ( 2,19)  (1,1,1,1,3)
164    350    ( 2,19)  350    ( 2,19)  (2,1,1,1,3)
165    350    ( 2,19)  350    ( 2,19)  (3,1,1,1,3)
166    350    ( 2,19)  350    ( 2,19)  (1,2,1,1,3)
167    350    ( 2,19)  350    ( 2,19)  (2,2,1,1,3)
168    350    ( 2,19)  350    ( 2,19)  (3,2,1,1,3)
169    350    ( 2,19)  350    ( 2,19)  (1,3,1,1,3)
170    350    ( 2,19)  350    ( 2,19)  (2,3,1,1,3)
171    350    ( 2,19)  350    ( 2,19)  (3,3,1,1,3)
172    350    ( 2,19)  350    ( 2,19)  (1,1,2,1,3)
173    350    ( 2,19)  350    ( 2,19)  (2,1,2,1,3)
174    350    ( 2,19)  350    ( 2,19)  (3,1,2,1,3)
175    350    ( 2,19)  350    ( 2,19)  (1,2,2,1,3)
176    350    ( 2,19)  350    ( 2,19)  (2,2,2,1,3)
177    350    ( 2,19)  350    ( 2,19)  (3,2,2,1,3)
178    350    ( 2,19)  350    ( 2,19)  (1,3,2,1,3)
179    350    ( 2,19)  350    ( 2,19)  (2,3,2,1,3)
180    350    ( 2,19)  350    ( 2,19)  (3,3,2,1,3)
181    350    ( 2,19)  350    ( 2,19)  (1,1,3,1,3)
182    350    ( 2,19)  350    ( 2,19)  (2,1,3,1,3)
183    350    ( 2,19)  350    ( 2,19)  (3,1,3,1,3)
184    350    ( 2,19)  350    ( 2,19)  (1,2,3,1,3)
185    350    ( 2,19)  350    ( 2,19)  (2,2,3,1,3)
186    350    ( 2,19)  350    ( 2,19)  (3,2,3,1,3)
187    350    ( 2,19)  350    ( 2,19)  (1,3,3,1,3)
188    350    ( 2,19)  350    ( 2,19)  (2,3,3,1,3)
189    350    ( 2,19)  350    ( 2,19)  (3,3,3,1,3)
190    350    ( 3,17)  350    ( 2,19)  (1,1,1,2,3)
191    350    ( 3,17)  350    ( 2,19)  (2,1,1,2,3)
192    350    ( 3,17)  350    ( 2,19)  (3,1,1,2,3)
193    350    ( 3,17)  350    ( 2,19)  (1,2,1,2,3)
194    350    ( 3,17)  350    ( 2,19)  (2,2,1,2,3)
195    350    ( 3,17)  350    ( 2,19)  (3,2,1,2,3)
196    350    ( 3,17)  350    ( 2,19)  (1,3,1,2,3)
197    350    ( 3,17)  350    ( 2,19)  (2,3,1,2,3)
198    350    ( 3,17)  350    ( 2,19)  (3,3,1,2,3)
199    350    ( 3,17)  350    ( 2,19)  (1,1,2,2,3)
200    350    ( 3,17)  350    ( 2,19)  (2,1,2,2,3)
201    350    ( 3,17)  350    ( 2,19)  (3,1,2,2,3)
202    350    ( 3,17)  350    ( 2,19)  (1,2,2,2,3)
203    350    ( 3,17)  350    ( 2,19)  (2,2,2,2,3)
204    350    ( 3,17)  350    ( 2,19)  (3,2,2,2,3)
205    350    ( 3,17)  350    ( 2,19)  (1,3,2,2,3)
206    350    ( 3,17)  350    ( 2,19)  (2,3,2,2,3)
207    350    ( 3,17)  350    ( 2,19)  (3,3,2,2,3)
208    350    ( 3,17)  350    ( 2,19)  (1,1,3,2,3)
209    350    ( 3,17)  350    ( 2,19)  (2,1,3,2,3)
210    350    ( 3,17)  350    ( 2,19)  (3,1,3,2,3)
211    350    ( 3,17)  350    ( 2,19)  (1,2,3,2,3)
212    350    ( 3,17)  350    ( 2,19)  (2,2,3,2,3)
213    350    ( 3,17)  350    ( 2,19)  (3,2,3,2,3)
214    350    ( 3,17)  350    ( 2,19)  (1,3,3,2,3)
215    350    ( 3,17)  350    ( 2,19)  (2,3,3,2,3)
216    350    ( 3,17)  350    ( 2,19)  (3,3,3,2,3)
217    350    ( 3,17)  350    ( 2,19)  (1,1,1,3,3)
218    350    ( 3,17)  350    ( 2,19)  (2,1,1,3,3)
219    350    ( 3,17)  350    ( 2,19)  (3,1,1,3,3)
220    350    ( 3,17)  350    ( 2,19)  (1,2,1,3,3)
221    350    ( 3,17)  350    ( 2,19)  (2,2,1,3,3)
222    350    ( 3,17)  350    ( 2,19)  (3,2,1,3,3)
223    350    ( 3,17)  350    ( 2,19)  (1,3,1,3,3)
224    350    ( 3,17)  350    ( 2,19)  (2,3,1,3,3)
225    350    ( 3,17)  350    ( 2,19)  (3,3,1,3,3)
226    350    ( 3,17)  350    ( 2,19)  (1,1,2,3,3)
227    350    ( 3,17)  350    ( 2,19)  (2,1,2,3,3)
228    350    ( 3,17)  350    ( 2,19)  (3,1,2,3,3)
229    350    ( 3,17)  350    ( 2,19)  (1,2,2,3,3)
230    350    ( 3,17)  350    ( 2,19)  (2,2,2,3,3)
231    350    ( 3,17)  350    ( 2,19)  (3,2,2,3,3)
232    350    ( 3,17)  350    ( 2,19)  (1,3,2,3,3)
233    350    ( 3,17)  350    ( 2,19)  (2,3,2,3,3)
234    350    ( 3,17)  350    ( 2,19)  (3,3,2,3,3)
235    350    ( 3,17)  350    ( 2,19)  (1,1,3,3,3)
236    350    ( 3,17)  350    ( 2,19)  (2,1,3,3,3)
237    350    ( 3,17)  350    ( 2,19)  (3,1,3,3,3)
238    350    ( 3,17)  350    ( 2,19)  (1,2,3,3,3)
239    350    ( 3,17)  350    ( 2,19)  (2,2,3,3,3)
240    350    ( 3,17)  350    ( 2,19)  (3,2,3,3,3)
241    350    ( 3,17)  350    ( 2,19)  (1,3,3,3,3)
242    350    ( 3,17)  350    ( 2,19)  (2,3,3,3,3)
243    350    ( 3,17)  350    ( 2,19)  (3,3,3,3,3)
Best Map 1 - 1 with time 47
Best Map 2 - 3 with time 45

