  1    350    ( 5,17)  350    ( 2,17)  (1,1,1,1,1)
  2    158    ( 2, 1)  102    ( 2, 1)  (2,1,1,1,1)
  3     83    ( 2, 1)   53    ( 2, 1)  (3,1,1,1,1)
  4    350    ( 5, 3)   70    ( 2, 1)  (1,2,1,1,1)
  5    345    (18,12)   93    ( 2, 1)  (2,2,1,1,1)
  6    137    ( 2, 1)   51    ( 2, 1)  (3,2,1,1,1)
  7    350    ( 5, 4)   51    ( 2, 1)  (1,3,1,1,1)
  8    350    ( 5, 4)   51    ( 2, 1)  (2,3,1,1,1)
  9    350    ( 5, 4)   51    ( 2, 1)  (3,3,1,1,1)
 10    350    ( 5,17)  350    ( 2,17)  (1,1,2,1,1)
 11    149    ( 2, 1)   87    ( 2, 1)  (2,1,2,1,1)
 12     83    ( 2, 1)   53    ( 2, 1)  (3,1,2,1,1)
 13    350    ( 5, 3)   82    ( 2, 1)  (1,2,2,1,1)
 14    350    (18,13)   99    ( 2, 1)  (2,2,2,1,1)
 15    136    ( 2, 1)   51    ( 2, 1)  (3,2,2,1,1)
 16    350    ( 5, 4)   51    ( 2, 1)  (1,3,2,1,1)
 17    350    ( 5, 4)   51    ( 2, 1)  (2,3,2,1,1)
 18    350    ( 5, 4)   51    ( 2, 1)  (3,3,2,1,1)
 19    350    ( 5,17)  350    ( 2,17)  (1,1,3,1,1)
 20    150    ( 2, 1)   85    ( 2, 1)  (2,1,3,1,1)
 21     83    ( 2, 1)   53    ( 2, 1)  (3,1,3,1,1)
 22    322    ( 5, 3)   71    ( 2, 1)  (1,2,3,1,1)
 23    340    (18,12)  103    ( 2, 1)  (2,2,3,1,1)
 24    148    ( 2, 1)   67    ( 2, 1)  (3,2,3,1,1)
 25    350    ( 5, 4)   51    ( 2, 1)  (1,3,3,1,1)
 26    350    ( 5, 4)   51    ( 2, 1)  (2,3,3,1,1)
 27    350    ( 5, 4)   51    ( 2, 1)  (3,3,3,1,1)
 28    350    ( 5,17)  350    ( 2,17)  (1,1,1,2,1)
 29    350    ( 5,17)  350    ( 2,17)  (2,1,1,2,1)
 30    136    ( 2, 1)   82    ( 2, 1)  (3,1,1,2,1)
 31    350    (18,12)   99    ( 2, 1)  (1,2,1,2,1)
 32    350    (18,12)   76    ( 2, 1)  (2,2,1,2,1)
 33    116    ( 2, 1)   53    ( 2, 1)  (3,2,1,2,1)
 34    350    ( 5, 3)   56    ( 2, 1)  (1,3,1,2,1)
 35    350    (18,15)   57    ( 2, 1)  (2,3,1,2,1)
 36    350    ( 5, 6)   57    ( 2, 1)  (3,3,1,2,1)
 37    350    ( 5,17)  350    ( 2,17)  (1,1,2,2,1)
 38    350    ( 5,17)  350    ( 2,17)  (2,1,2,2,1)
 39    156    ( 2, 1)   82    ( 2, 1)  (3,1,2,2,1)
 40    350    ( 5, 3)   94    ( 2, 1)  (1,2,2,2,1)
